"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","normalized_z"
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.333752686,0,0,0.992250538,0,0,0,1,0,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.172950305,0.811315497,0.342849274,0.996310869,1,0.426735643,0.203216608,0.99836226,0.583333333,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.184863883,0.497040996,0.473946781,0.826545607,1,0.249130222,0.280649974,0.968898816,0.583333333,0
0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.411923807,0.395639517,0.286427475,0.775418133,1,0.195253414,0.169828359,0.958047523,0.583333333,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.374206476,0.102646304,0.864928835,0.972061294,1,0.048443901,0.509760912,0.992358632,0.583333333,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101879328,0,0,0.83508895,0,0,0,0.999997375,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.024007651,0.338748452,0.253760488,0.977822563,1,0.165730293,0.150483501,0.992663229,0.583333333,0
0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.240096814,0.902964128,0.610655291,0.998606681,1,0.481682481,0.361118695,0.999309883,0.583333333,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.249508697,0.241271512,0.174937369,0.997359916,1,0.116297709,0.103772052,0.99833227,0.583333333,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.185998238,0,0,0.995896483,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217847352,0,0,0.871747245,0,0,0,0.999999509,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.147422965,0,0,0.991126904,0,0,0,1,0,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1681229,0.545433756,0.378606395,0.960912731,1,0.275419062,0.224358511,0.990112102,0.583333333,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19039708,0.182034384,0.9906305,0.996306317,1,0.151229635,0.98956994,0.995636742,1,0
1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.068833005,0.225408458,0.791002105,0.998562973,1,0.189153847,0.794478629,0.999436003,1,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.170219693,0.666621524,0.351803817,0.313395263,1,0.342924816,0.208512484,0.859096243,0.583333333,3.9737517054661e-07
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.069997305,0,0,0.999441929,0,0,0,1,0,0
0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0.619533616,0.820787375,0.578346931,0.990527421,1,0.432346666,0.342131346,0.9970284,0.583333333,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134463342,0,0,0.901733026,0,0,0,0.999999917,0,0
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.289860475,0.345299984,0.128641131,0.989520029,1,0.169104685,0.076319053,0.995502115,0.583333333,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.108301654,0.012800385,0.772949992,0.867148071,1,0.005959187,0.456169423,0.972757729,0.583333333,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267296389,0,0,0.730804393,0,0,0,0.999935584,0,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.369439371,0,0,0.995421443,0,0,0,1,0,0
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.380886899,0.060160588,0.123826037,0.444030914,1,0.028209921,0.073463183,0.874613968,0.583333333,3.42100688888181e-08
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.331128463,0,0,0.983892738,0,0,0,1,0,0
0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.54379776,0.052809508,0.178073912,0.845401963,1,0.024735267,0.10563157,0.965117506,0.583333333,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258768633,0,0,0.906448541,0,0,0,0.99999994,0,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.132385551,0.738102374,0.70789119,0.793111007,1,0.383884814,0.418136609,0.967958331,0.583333333,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.063153889,0.706492454,0.275453757,0.989425636,1,0.365665733,0.163330937,0.996212571,0.583333333,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068994727,0,0,0.955925162,0,0,0,0.999999999,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.032478231,0,0,0.99255915,0,0,0,1,0,0
